"Date","GOLDX"
"1980-12-24",266592920353981.7
"1980-12-26",266592920353981.7
"1980-12-29",262743362831857.8
"1980-12-30",260973451327433
"1980-12-31",260973451327433
"1981-01-02",260973451327433
"1981-01-05",264380530973450.72
"1981-01-06",265176991150441.84
"1981-01-07",258849557522123.3
"1981-01-08",254336283185840.12
"1981-01-09",255663716814158.7
"1981-01-12",248672566371680.84
"1981-01-13",249026548672565.75
"1981-01-14",246238938053096.75
"1981-01-15",252876106194689.62
"1981-01-16",248141592920353.38
"1981-01-19",250796460176990.56
"1981-01-20",248672566371680.88
"1981-01-21",255752212389379.9
"1981-01-22",249557522123893.2
"1981-01-23",244690265486725.1
"1981-01-26",233849557522123.38
"1981-01-27",231858407079645.47
"1981-01-28",231637168141592.38
"1981-01-29",218495575221238.4
"1981-01-30",224115044247787.03
"1981-02-02",218362831858406.47
"1981-02-03",215176991150441.9
"1981-02-04",223451327433627.7
"1981-02-05",220575221238937.44
"1981-02-06",221460176991149.8
"1981-02-09",226769911504424.16
"1981-02-10",229867256637167.53
"1981-02-11",221681415929202.9
"1981-02-12",216946902654866.62
"1981-02-13",217477876106194.1
"1981-02-17",221592920353981.7
"1981-02-18",223451327433627.7
"1981-02-19",222699115044247.16
"1981-02-20",226327433628317.97
"1981-02-23",221902654867256.03
"1981-02-24",222566371681415.38
"1981-02-25",221460176991149.84
"1981-02-26",217699115044247.2
"1981-02-27",216371681415928.62
"1981-03-02",205973451327433.1
"1981-03-03",208407079646017.1
"1981-03-04",205973451327433.03
"1981-03-05",204203539823008.25
"1981-03-06",206637168141592.3
"1981-03-09",209867256637167.56
"1981-03-10",215619469026548.1
"1981-03-11",210752212389379.97
"1981-03-12",211504424778760.47
"1981-03-13",217699115044247.16
"1981-03-16",221150442477875.47
"1981-03-17",218274336283185.2
"1981-03-18",223893805309733.88
"1981-03-19",225663716814158.62
"1981-03-20",228672566371680.72
"1981-03-23",232743362831857.7
"1981-03-24",237300884955751.47
"1981-03-25",233628318584070.1
"1981-03-26",238716814159291.3
"1981-03-27",238407079646016.97
"1981-03-30",232964601769910.8
"1981-03-31",227345132743362.12
"1981-04-01",227566371681415.2
"1981-04-02",229867256637167.44
"1981-04-03",231415929203539.12
"1981-04-06",236194690265486
"1981-04-07",227566371681415.2
"1981-04-08",224999999999999.3
"1981-04-09",222566371681415.25
"1981-04-10",218362831858406.4
"1981-04-13",209646017699114.4
"1981-04-14",213716814159291.38
"1981-04-15",210752212389379.9
"1981-04-16",213495575221238.3
"1981-04-20",213495575221238.3
"1981-04-21",212831858407079
"1981-04-22",221681415929202.88
"1981-04-23",216150442477875.47
"1981-04-24",218805309734512.62
"1981-04-27",213716814159291.4
"1981-04-28",213628318584070.16
"1981-04-29",211194690265486.1
"1981-04-30",213628318584070.12
"1981-05-01",215707964601769.2
"1981-05-04",215707964601769.2
"1981-05-05",210752212389379.84
"1981-05-06",213274336283185.16
"1981-05-07",211415929203539.16
"1981-05-08",214955752212388.7
"1981-05-11",218141592920353.28
"1981-05-12",214159292035397.56
"1981-05-13",214292035398229.4
"1981-05-14",210840707964601.1
"1981-05-15",214601769911503.75
"1981-05-18",213185840707963.9
"1981-05-19",213053097345132.1
"1981-05-20",212300884955751.56
"1981-05-21",210176991150441.8
"1981-05-22",209203539823008.2
"1981-05-26",206415929203539.16
"1981-05-27",206548672566371
"1981-05-28",211946902654866.53
"1981-05-29",212079646017698.38
"1981-06-01",213849557522123.12
"1981-06-02",209734513274335.53
"1981-06-03",210398230088494.8
"1981-06-04",204646017699114.28
"1981-06-05",203539823008848.8
"1981-06-08",209513274336282.44
"1981-06-09",203761061946901.9
"1981-06-10",205884955752211.7
"1981-06-11",205442477876105.53
"1981-06-12",208849557522123.2
"1981-06-15",208761061946901.97
"1981-06-16",204203539823008.16
"1981-06-17",204336283185840
"1981-06-18",203097345132742.62
"1981-06-19",202787610619468.38
"1981-06-22",204424778761061.25
"1981-06-23",206415929203539.12
"1981-06-24",204424778761061.25
"1981-06-25",197566371681415.25
"1981-06-26",195575221238937.38
"1981-06-29",189734513274335.62
"1981-06-30",188495575221238.28
"1981-07-01",186725663716813.53
"1981-07-02",183407079646017.03
"1981-07-06",178672566371680.78
"1981-07-07",179203539823008.22
"1981-07-08",176017699115043.62
"1981-07-09",179778761061946.25
"1981-07-10",184292035398229.4
"1981-07-13",182743362831857.75
"1981-07-14",178008849557521.47
